,FILTRO,No,ITEM,DESCRIPCIÓN,grupo,sub_grupo,clase 2,RUBRO,SEGMENTO,MARCA,MODELO,VOLTAJE/FRECUENCIA,FASES,POTENCIA,TIPO,CAUDAL,ALTURA,DIAMETRO DE SUCCION,DIAMETRO DE DESCARGA,POTENCIA REQUERIDA DEL MOTOR,TIPO DE IMPULSOR,MATERIAL DEL IMPULSOR,MATERIAL DEL CUERPO DE BOMBA,DIAMETRO DE LA BOMBA,TIPO DE LIQUIDO,DIAMETRO,CORRIENTE DE SALIDA MINIMA (AMPERAJE),CORRIENTE DE SALIDA MAXIMA (AMPERAJE),PRESION MAXIMA,CAPACIDAD,CAPACIDAD DEL TANQUE DE COMBUSTIBLE,VELOCIDAD ,INTENSIDAD ,TIPO DE MOTOR,APLICACION O CARACTERISTICAS,ANGULO,POTENCIA DEL MOTOR,POTENCIA DE SALIDA MAXIMA,POTENCIA CONTINUA,TIPO DE ARRANQUE ,TIPO DE COMBUSTIBLE,DIAMETRO DE POZO,SUCCION MAXIMA,CON FLOTADOR,PASO DE SOLIDO,CONTRA PRESIÓN ,VISCOSIDAD DEL LIQUIDO ,CABLE ENCHAQUETADO DE: ,SECCION DE CABLE,TIPO DE CONEXION,TIPO DE CABLE,ABERTURA DE RANURA,LONGITUD ,MICRONES,ESPESOR,PROFUNDIDAD MAXIMA  DE INSTALACION ,ALTERNADOR,MODELO DEL ALTERNADOR,MARCA DEL MOTOR,MODELO DEL MOTOR,CANTIDAD DE CILINDROS,ATS,CANTIDAD DE REFLECTORES,CAPACIDAD DE CADA REFLECTOR,TEMPERATURA DE TRABAJO,ALTURA DEL MASTIL,TIPO DE ENFRIAMIENTO,FACTOR DE POTENCIA,CANTIDAD DE ARENA ,AREA DE FILTRACION,CANTIDAD DE PELDAÑOS,TIPO DE FAROL,MEDIDA SUGERIDA,DIAMETRO DE PELET,COMSUMO DE COMBUSTIBLE,CAPACIDAD QUIMICA DEL TANQUE,CAPACIDAD DE SECADO,TIPO DE SECADO,PRODUCTO A SECAR,TEMPERATURA DE SECADO,ROTACION DE SECADO,CANTIDAD DE BAJADAS,TIPO DE GRANO,CANTIDAD DE LINEAS,DISTANCIA ENTRE GOTEROS,VOLTAJE BATERIA,AMPERAJE BATERIA,TORQUE MAXIMO,POSICIONES DE TORQUE,FUSIBLE TERMICO,CAPACIDAD ELECTRODO,DIAMETRO DE ALAMBRE,CICLO DE TRABAJO CON ELECTRODO,CICLO DE TRABAJO CON ALAMBRE,ROLLO DE ALAMBRE (No incluido),CICLO DE TRABAJO TIG,CICLO DE TRABAJO (PLASMA),COMENTARIO,CORTE PERFECTO,CORTE ACEPTABLE,SEPARA HASTA,Nuevo 1,Nuevo 2,Nuevo 3,Nuevo 4,Nuevo 5,Nuevo 6,Nuevo 7,CONEXIÓN,PLATAFORMA,CILINDRADA,TIPO DE PROTECCION,TIPO DE AISLACION,DESTACADO,PESO,DIMENSIONES,GARANTIA,PROCEDENCIA,INCLUYE:,STOCK ,PRECIO,RESUMEN,,,,,,,,,,,,,,,,,,,
,1,13,AD-836/1B,ATORNILLADOR RECARCABLE 3.6V LI-ION,HERAMIENTAS ELECTRICAS,RECARGABLES,ATORNILLADORES,,PROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,,,,,,,,,,,,,,,,,,,180 Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,6 V","1,3Ah",4N/m,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"0,67kg",,,,,,,"ITEM :ad-836/1b;DESCRIPCIÓN:atornillador recarcable 3.6v li-ion;GRUPO:heramientas electricas;SUB GRUPO :recargables;CLASE 2:atornilladores;SEGMENTO:profesional;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;VELOCIDAD :180 rpm;VOLTAJE BATERIA:3,6 v;AMPERAJE BATERIA:1,3ah;TORQUE MAXIMO:4n/m;TIPO DE AISLACION:clase ii;PESO:0,67kg",,,,,,,,,,,,,,,,,,,
,1,14,TA-610/12,TALADRO ATORNILLADOR RECARGABLE 10 MM  12V,HERAMIENTAS ELECTRICAS,RECARGABLES,TALADROS ATORNILLADORES,,SEMIPROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,,Litio Ion ,,,,,,,,,,,,,,,,,1100 Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 V,"1,5Ah",21N/m,21,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"1,7kg",,,,,,,"ITEM :ta-610/12;DESCRIPCIÓN:taladro atornillador recargable 10 mm  12v;GRUPO:heramientas electricas;SUB GRUPO :recargables;CLASE 2:taladros atornilladores;SEGMENTO:semiprofesional;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;TIPO :litio ion ;VELOCIDAD :1100 rpm;VOLTAJE BATERIA:12 v;AMPERAJE BATERIA:1,5ah;TORQUE MAXIMO:21n/m;POSICIONES DE TORQUE:21;TIPO DE AISLACION:clase ii;PESO:1,7kg",,,,,,,,,,,,,,,,,,,
,1,15,TP-813/18/2 BV,"TALADRO PERCUTOR A BATERIA 13MM, 18V",HERAMIENTAS ELECTRICAS,RECARGABLES,TALADROS PERCUTORES,,PROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,,Litio Ion ,,,,,,,,,,,,,,,13 mm,,1400 Rpm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18V,"1,5Ah",35N/n,21,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"1,35Kg",,,,,,,"ITEM :tp-813/18/2 bv;DESCRIPCIÓN:taladro percutor a bateria 13mm, 18v;GRUPO:heramientas electricas;SUB GRUPO :recargables;CLASE 2:taladros percutores;SEGMENTO:profesional;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;TIPO :litio ion ;CAPACIDAD:13 mm;VELOCIDAD :1400 rpm ;VOLTAJE BATERIA:18v;AMPERAJE BATERIA:1,5ah;TORQUE MAXIMO:35n/n;POSICIONES DE TORQUE:21;TIPO DE AISLACION:clase ii;PESO:1,35kg",,,,,,,,,,,,,,,,,,,
,1,16,LIT-1114/12,"LLAVE DE IMPACTO REGARG. TOUCH 12V, 1/4""",HERAMIENTAS ELECTRICAS,RECARGABLES,LLAVES DE IMPACTO,,INDUSTRIAL,NEO,,220V/50-60Hz,Monofasica ,,Litio Ion ,,,,,,,,,,,,,,,"6,35mm",,2300 Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12V,"2,0Ah",100 N/n,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"1,86Kg",,,,,,,"ITEM :lit-1114/12;DESCRIPCIÓN:llave de impacto regarg. touch 12v, 1/4"";GRUPO:heramientas electricas;SUB GRUPO :recargables;CLASE 2:llaves de impacto;SEGMENTO:industrial;MARCA:neo;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;TIPO :litio ion ;CAPACIDAD:6,35mm;VELOCIDAD :2300 rpm;VOLTAJE BATERIA:12v;AMPERAJE BATERIA:2,0ah;TORQUE MAXIMO:100 n/n;TIPO DE AISLACION:clase ii;PESO:1,86kg",,,,,,,,,,,,,,,,,,,
,1,17,H-4100M,HIDROLAVADORA 100 BAR 1400W,HERAMIENTAS ELECTRICAS,HIDROLAVADORAS,,,HOGAR-HOBBY,FOREST & GARDEN,,220V/50-60Hz,Monofasica ,"1,4kW",,"5,5L/min",,,,,,,,,,,,,100bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase I,,"8,5kg",,,,,,,"ITEM :h-4100m;DESCRIPCIÓN:hidrolavadora 100 bar 1400w;GRUPO:heramientas electricas;SUB GRUPO :hidrolavadoras;SEGMENTO:hogar-hobby;MARCA:forest & garden;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :1,4kw;CAUDAL  :5,5l/min;PRESION MAXIMA:100bar;TIPO DE AISLACION:clase i;PESO:8,5kg",,,,,,,,,,,,,,,,,,,
,1,18,BD-843/1,"DESMALEZADORA A GASOLINA 43CC, 17""",HERAMIENTAS ELECTRICAS,HERRAMIENTAS PARA JARDINERIA,DESMALEZADORAS,,PROFESIONAL,FOREST & GARDEN,,,,,,,,,,,,,,,,,,,,430mm,,,,,,,,,,,Mescla,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 Cc,,,,,,,,,,,"ITEM :bd-843/1;DESCRIPCIÓN:desmalezadora a gasolina 43cc, 17"";GRUPO:heramientas electricas;SUB GRUPO :herramientas para jardineria;CLASE 2:desmalezadoras;SEGMENTO:profesional;MARCA:forest & garden;CAPACIDAD:430mm;TIPO DE COMBUSTIBLE:mescla;CANTIDAD DE CILINDROS:1;CILINDRADA:43 cc",,,,,,,,,,,,,,,,,,,
,1,19,A-712,"ASPIRADORA SECO/HUMEDO 1100W, 12L",HERAMIENTAS ELECTRICAS,ASPIRADORAS,,,PROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,1100 W,,,,,,,,,,,,,,,15-17kpa,12 Lts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP 24,CLASE II,,,,,,,,,"ITEM :a-712;DESCRIPCIÓN:aspiradora seco/humedo 1100w, 12l;GRUPO:heramientas electricas;SUB GRUPO :aspiradoras;SEGMENTO:profesional;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :1100 w;PRESION MAXIMA:15-17kpa;CAPACIDAD:12 lts;TIPO DE PROTECCION:ip 24;TIPO DE AISLACION:clase ii",,,,,,,,,,,,,,,,,,,
,1,20,MC-9190,MEZCLADORA DE HORMIGON 894W 190L,HERAMIENTAS ELECTRICAS,EQUIPOS P/CONSTRUCCION,,,INDUSTRIAL,OBRA,,800W,,800W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITEM :mc-9190,DESCRIPCIÓN:mezcladora de hormigon 894w 190l,GRUPO:heramientas electricas,SUB GRUPO :equipos p/construccion,SEGMENTO:industrial,MARCA:obra,VOLTAJE/FRECUENCIA:800w,POTENCIA :800w,,,,,,,,,,,,
,1,21,MLT235SB-380,ELEVADOR 2 COLUMNAS 3.5TN T/BASE 380V,TALLER AUTOMOTRIZ,ELEVADORES,,,,LAUNCH,,380V/50-60Hz,Trifasica,,,,1950 mm,,,,,,,,,,,,,"3,5 TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITEM :mlt235sb-380;DESCRIPCIÓN:elevador 2 columnas 3.5tn t/base 380v;GRUPO:taller automotriz;SUB GRUPO :elevadores;MARCA:launch;VOLTAJE/FRECUENCIA:380v/50-60hz;FASES:trifasica;ALTURA:1950 mm;CAPACIDAD:3,5 tn",,,,,,,,,,,,,,,,,,,
,1,22,EWA-851S,"ALINEADORA WXA-851S, 3D",TALLER AUTOMOTRIZ,ALINEADORAS,,,,LAUNCH,,220V/50-60Hz,Monofasica ,1100W /750W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITEM :ewa-851s;DESCRIPCIÓN:alineadora wxa-851s, 3d;GRUPO:taller automotriz;SUB GRUPO :alineadoras;MARCA:launch;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :1100w /750w",,,,,,,,,,,,,,,,,,,
,1,23,KWB-412,BALANCEADORA C/PANTALLA LED 250 W,TALLER AUTOMOTRIZ,BALANCEADORAS,,,,LAUNCH,,220V/50-60Hz,Monofasica ,250 W,,,,,,,,,,,,,,,,"10"" - 22""",,240 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITEM :kwb-412;DESCRIPCIÓN:balanceadora c/pantalla led 250 w;GRUPO:taller automotriz;SUB GRUPO :balanceadoras;MARCA:launch;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :250 w;CAPACIDAD:10"" - 22"";VELOCIDAD :240 rpm",,,,,,,,,,,,,,,,,,,
,1,24,ENC-602A,BANCO PRUEBA Y LIMPIEZA INYECTORES 6 PROBETAS,TALLER AUTOMOTRIZ,OTROS EQUIPOS P/TALLER AUTOMOTRIZ,,,,LAUNCH,,220V/50-60Hz,Monofasica ,,,,,,,,,,,,,,,,, Inyectores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITEM :enc-602a,DESCRIPCIÓN:banco prueba y limpieza inyectores 6 probetas,GRUPO:taller automotriz,SUB GRUPO :otros equipos p/taller automotriz,MARCA:launch,VOLTAJE/FRECUENCIA:220v/50-60hz,FASES:monofasica ,CAPACIDAD: inyectores,,,,,,,,,,,,
,,25,495075,DOSIFICADORA 2 L/H 16 BAR CNPB1602NPB200G01001PT,BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,2 Lts/Hra,,1/4 Pulg,3/16 Pulg,,,,,,,,,,16 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1004,ITEM :495075,DESCRIPCIÓN:dosificadora 2 l/h 16 bar cnpb1602npb200g01001pt,GRUPO:bombas,SUB GRUPO :especiales ,CLASE 2:dosificadoras  de piston,RUBRO:industrial,MARCA:promiinent,MODELO:concept plus b,VOLTAJE/FRECUENCIA:100-230vac/50/60hz,CAUDAL  :2 lts/hra,DIAMETRO DE SUCCION:1/4 pulg,DIAMETRO DE DESCARGA:3/16 pulg,PRESION MAXIMA:16 bar,,,,,,,
,,26,495073,DOSIFICADORA 1.5 BAR 14.9 L/H CNPB0215NPB200G01001PT,BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,14.9 Lts/Hra,,3/8 Pulg,1/4  Pulg,,,,,,,,,,1.5 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1030,ITEM :495073,DESCRIPCIÓN:dosificadora 1.5 bar 14.9 l/h cnpb0215npb200g01001pt,GRUPO:bombas,SUB GRUPO :especiales ,CLASE 2:dosificadoras  de piston,RUBRO:industrial,MARCA:promiinent,MODELO:concept plus b,VOLTAJE/FRECUENCIA:100-230vac/50/60hz,CAUDAL  :14.9 lts/hra,DIAMETRO DE SUCCION:3/8 pulg,DIAMETRO DE DESCARGA:1/4  pulg,PRESION MAXIMA:1.5 bar,,,,,,,
,,27,495071,"DOSIFICADORA 3,9 L/H 7 BAR CNPB0704NPB200G01",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,4 Lts/Hra,,1/4 Pulg,3/16 Pulg,,,,,,,,,,7 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1389,"ITEM :495071;DESCRIPCIÓN:dosificadora 3,9 l/h 7 bar cnpb0704npb200g01;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac/50/60hz;CAUDAL  :4 lts/hra;DIAMETRO DE SUCCION:1/4 pulg;DIAMETRO DE DESCARGA:3/16 pulg;PRESION MAXIMA:7 bar",,,,,,,,,,,,,,,,,,,
,,28,495067,DOSIFICADORA 16.4 L/H 1.5 BAR CNPB0215PVT200G01,BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,16.4 Lts/Hra,,3/8 Pulg,1/4 Pulg,,,,,,,,,,1.5 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2016,ITEM :495067,DESCRIPCIÓN:dosificadora 16.4 l/h 1.5 bar cnpb0215pvt200g01,GRUPO:bombas,SUB GRUPO :especiales ,CLASE 2:dosificadoras  de piston,RUBRO:industrial,MARCA:promiinent,MODELO:concept plus b,VOLTAJE/FRECUENCIA:100-230vac/50/60hz,CAUDAL  :16.4 lts/hra,DIAMETRO DE SUCCION:3/8 pulg,DIAMETRO DE DESCARGA:1/4 pulg,PRESION MAXIMA:1.5 bar,,,,,,,
,,29,495063,DOSIFICADORA 16.4 L/H 1.5 BAR CNPB0215PPE200G01,BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230VAC/50/60Hz,,,,16.4 Lts/Hra,,3/8 Pulg,1/4 Pulg,,,,,,,,,,1.5 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1540,ITEM :495063,DESCRIPCIÓN:dosificadora 16.4 l/h 1.5 bar cnpb0215ppe200g01,GRUPO:bombas,SUB GRUPO :especiales ,CLASE 2:dosificadoras  de piston,RUBRO:industrial,MARCA:promiinent,MODELO:concept plus b,VOLTAJE/FRECUENCIA:100-230vac/50/60hz,CAUDAL  :16.4 lts/hra,DIAMETRO DE SUCCION:3/8 pulg,DIAMETRO DE DESCARGA:1/4 pulg,PRESION MAXIMA:1.5 bar,,,,,,,
,,30,495061,"DOSIFICADORA 8,0 L/H 3 BAR CONCEPT PLUSS CNPB0309PVT200G01001PT",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,9 Lts/Hra,,3/8 Pulg,1/4 Pulg,,,,,,,,,,3 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4610,"ITEM :495061;DESCRIPCIÓN:dosificadora 8,0 l/h 3 bar concept pluss cnpb0309pvt200g01001pt;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac/50/60hz;CAUDAL  :9 lts/hra;DIAMETRO DE SUCCION:3/8 pulg;DIAMETRO DE DESCARGA:1/4 pulg;PRESION MAXIMA:3 bar",,,,,,,,,,,,,,,,,,,
,,31,495059,"DOSIFICADORA 8,0 L/H 3 BAR CONCEPT PLUSS CNPB0309PPE200G01001PT",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230VAC/50/60Hz,,,,9 Lts/Hra,,3/8 Pulg,1/4 Pulg,,,,,,,,,,3 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3610,"ITEM :495059;DESCRIPCIÓN:dosificadora 8,0 l/h 3 bar concept pluss cnpb0309ppe200g01001pt;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac/50/60hz;CAUDAL  :9 lts/hra;DIAMETRO DE SUCCION:3/8 pulg;DIAMETRO DE DESCARGA:1/4 pulg;PRESION MAXIMA:3 bar",,,,,,,,,,,,,,,,,,,
,,32,495057,"DOSIFICADORA 3,9 L/H 7 BAR CONCEPT PLUSS CNPB0704PPE000G01",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230VAC/50/60Hz,,,,4 Lts/Hra,,1/4 Pulg,3/16 Pulg,,,,,,,,,,7 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,9260,"ITEM :495057;DESCRIPCIÓN:dosificadora 3,9 l/h 7 bar concept pluss cnpb0704ppe000g01;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac/50/60hz;CAUDAL  :4 lts/hra;DIAMETRO DE SUCCION:1/4 pulg;DIAMETRO DE DESCARGA:3/16 pulg;PRESION MAXIMA:7 bar",,,,,,,,,,,,,,,,,,,
,,33,495055,"DOSIFICADORA 3,9 L/H 7 BAR CONCEPT PLUSS CNPB0704PVT200G01",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230VAC,50/60 Hz,,,,3.9 Lts/Hra,,1/4 Pulg,3/16 Pulg,,,,,,,,,,7 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,"ITEM :495055;DESCRIPCIÓN:dosificadora 3,9 l/h 7 bar concept pluss cnpb0704pvt200g01;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac;50/60 hz;CAUDAL  :3.9 lts/hra;DIAMETRO DE SUCCION:1/4 pulg;DIAMETRO DE DESCARGA:3/16 pulg;PRESION MAXIMA:7 bar",,,,,,,,,,,,,,,,,,
,,34,495053,"DOSIFICADORA 2,1 L/H 10 BAR CONCEPT PLUSS CNPB1002PVT200G01",BOMBAS,ESPECIALES ,DOSIFICADORAS  DE PISTON,Industrial,,PROMIINENT,Concept Plus B,100-230Vac/50/60Hz,,,,2.1 Lts/Hra,,1/4 Pulg,3/16 Pulg,,,,,,,,,,10 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4202,"ITEM :495053;DESCRIPCIÓN:dosificadora 2,1 l/h 10 bar concept pluss cnpb1002pvt200g01;GRUPO:bombas;SUB GRUPO :especiales ;CLASE 2:dosificadoras  de piston;RUBRO:industrial;MARCA:promiinent;MODELO:concept plus b;VOLTAJE/FRECUENCIA:100-230vac/50/60hz;CAUDAL  :2.1 lts/hra;DIAMETRO DE SUCCION:1/4 pulg;DIAMETRO DE DESCARGA:3/16 pulg;PRESION MAXIMA:10 bar",,,,,,,,,,,,,,,,,,,
